"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","钱包模块","手机验证码","0","0","2","0","0"
"","注册模块","用户注册","0","0","14","0","0"
"","钱包模块","验证银行卡","0","0","3","0","0"
"","修改密码模块","使用原密码","0","0","15","0","0"
"","钱包模块","验证持卡人","0","0","1","0","0"
"","修改密码模块","忘记密码","0","0","25","0","0"
"","登录模块","密码登录","0","0","7","0","0"
"","综合视频模块","验证实名认证","0","0","1","0","0"
"","设置模块","保互通简介","0","0","1","0","0"
"","登录模块","验证码登录","0","0","8","0","0"
"","设置模块","注销提示toast","0","0","2","0","0"
"","设置模块","法律声明","0","0","1","0","0"
"","设置模块","注销协议","0","0","1","0","0"
"","综合视频模块","验证服务协议","0","0","1","0","0"
"","首页模块","用户登录","0","0","1","0","0"
"","首页模块","用户未登录","0","0","1","0","0"
