"Status","Name","Duration in ms","Description"
"passed","scripts.test_login.TestLogin#test_code_login","2946",""
"passed","scripts.test_setting.TestSetting#test_bht_introduction","3163",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4226",""
"passed","scripts.test_register.TestRegister#test_register","4252",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3772",""
"passed","scripts.test_register.TestRegister#test_register","3987",""
"passed","scripts.test_login.TestLogin#test_password_login","9568",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3673",""
"passed","scripts.test_wallet.TestWallet#test_bank_card","2838",""
"passed","scripts.test_setting.TestSetting#test_law_statement","2128",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3006",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3624",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","4142",""
"passed","scripts.test_wallet.TestWallet#test_phone_code","2226",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","10180",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3189",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3397",""
"passed","scripts.test_video.TestVideo#test_video_authentication","8703",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3106",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3979",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","5147",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4665",""
"passed","scripts.test_register.TestRegister#test_register","3913",""
"passed","scripts.test_register.TestRegister#test_register","124903",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3535",""
"passed","scripts.test_login.TestLogin#test_password_login","3341",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4508",""
"passed","scripts.test_login.TestLogin#test_password_login","3409",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4431",""
"passed","scripts.test_setting.TestSetting#test_cancel_notice","3417",""
"passed","scripts.test_login.TestLogin#test_password_login","3474",""
"passed","scripts.test_register.TestRegister#test_register","3899",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4143",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3214",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","4310",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4055",""
"passed","scripts.test_login.TestLogin#test_code_login","9615",""
"passed","scripts.test_setting.TestSetting#test_cancel_toast","2521",""
"passed","scripts.test_login.TestLogin#test_code_login","13486",""
"passed","scripts.test_register.TestRegister#test_register","4228",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","4289",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3355",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","2754",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4255",""
"passed","scripts.test_register.TestRegister#test_register","6085",""
"passed","scripts.test_register.TestRegister#test_register","4783",""
"passed","scripts.test_wallet.TestWallet#test_bank_card","4277",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3733",""
"passed","scripts.test_register.TestRegister#test_register","4052",""
"passed","scripts.test_login.TestLogin#test_password_login","2877",""
"passed","scripts.test_home.TestHome#test_not_login","8030",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4334",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3782",""
"passed","scripts.test_register.TestRegister#test_register","3996",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3778",""
"passed","scripts.test_wallet.TestWallet#test_bank_card","2316",""
"passed","scripts.test_login.TestLogin#test_password_login","3717",""
"passed","scripts.test_register.TestRegister#test_register","3967",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3747",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","4250",""
"passed","scripts.test_setting.TestSetting#test_cancel_toast","2446",""
"passed","scripts.test_video.TestVideo#test_video_agreement","4024",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3742",""
"passed","scripts.test_register.TestRegister#test_register","3983",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3481",""
"passed","scripts.test_login.TestLogin#test_code_login","12415",""
"passed","scripts.test_login.TestLogin#test_password_login","3174",""
"passed","scripts.test_login.TestLogin#test_code_login","3268",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4400",""
"passed","scripts.test_login.TestLogin#test_code_login","3175",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3520",""
"passed","scripts.test_login.TestLogin#test_code_login","2995",""
"passed","scripts.test_register.TestRegister#test_register","4278",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3081",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","4262",""
"passed","scripts.test_wallet.TestWallet#test_cardholder","22443",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","3890",""
"passed","scripts.test_wallet.TestWallet#test_phone_code","2094",""
"passed","scripts.test_login.TestLogin#test_code_login","3162",""
"passed","scripts.test_register.TestRegister#test_register","4343",""
"passed","scripts.test_home.TestHome#test_user_login","31350",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3199",""
"passed","scripts.test_change_pwd.TestChangePdw#test_forget_pwd","3377",""
"passed","scripts.test_change_pwd.TestChangePdw#test_change_pwd","7021",""
